Index,MovieTitle
201,12 Years a Slave
202,Ben-Hur
203,Persona
204,The Grand Budapest Hotel
205,Million Dollar Baby
206,Amores Perros
207,The Message
208,The Princess Bride
209,Jurassic Park
210,Hachi: A Dog's Tale
211,Nausicaä of the Valley of the Wind
212,Udaan
213,Memories of Murder
214,Stalker
215,Touch of Evil
216,The Grapes of Wrath
217,The Truman Show
218,Before Sunrise
219,Annie Hall
220,Gandhi
221,Zootopia
222,The Bourne Ultimatum
223,Chak de! India
224,Rocky
225,Diabolique
226,Donnie Darko
227,Harry Potter and the Deathly Hallows: Part 2
228,8½
229,"Monsters, Inc."
230,The Wizard of Oz
231,The Terminator
232,Prisoners
233,Groundhog Day
234,Twelve Monkeys
235,Jaws
236,Catch Me If You Can
237,La Haine
238,Barry Lyndon
239,The Best Years of Our Lives
240,Infernal Affairs
241,Strangers on a Train
242,Sin City
243,Kind Hearts and Coronets
244,The Battle of Algiers
245,Dog Day Afternoon
246,Pirates of the Caribbean: The Curse of the Black Pearl
247,The Help
248,The Imitation Game
249,Ip Man
250,Song of the Sea
